Geneid	4N_ZFP821_WT_RNA_seq_rep1	4N_ZFP821_WT_RNA_seq_rep2	4N_ZFP821_KO_RNA_seq_rep1	4N_ZFP821_KO_RNA_seq_rep2
Trpv3	4	11	16	19
Trpv1	496	468	537	523
Gm16021	0	0	0	2
Shpk	203	151	290	255
Ctns	348	397	505	412
Tax1bp3	121	129	250	250
Emc6	1449	1606	2275	2153
P2rx5	18	39	45	48
Gm35001	3	1	3	0
Haspin	20086	21664	26926	26469
Itgae	2050	2336	2814	2561
Ncbp3	589	673	1038	1181
Camkk1	40	46	51	98
4732414G09Rik	4	1	3	8
P2rx1	4	10	2	1
Atp2a3	24	26	25	25
Gm34793	3	1	6	1
Gm34704	0	0	1	0
Zzef1	1790	1930	2639	2838
LOC100048798	0	0	0	0
LOC105247305	0	0	0	0
Nlrp1c-ps	4	0	2	1
Gm23266	0	0	0	0
Nlrp1b	1	6	4	2
Nlrp1a	2	0	0	2
Gm15377	0	0	0	0
Gm12321	0	0	0	0
6330403K07Rik	2	1	1	4
Mis12	677	733	795	836
Derl2	1302	1502	2111	2040
Gm22297	3	4	5	7
Dhx33	1014	1097	1347	1418
C1qbp	436	484	769	854
Rpain	343	366	532	481
Nup88	4869	5302	6212	6258
Gm12322	0	0	0	0
Rabep1	1357	1495	1566	1698
Scimp	0	0	0	0
Zfp3	92	98	133	152
Gm51884	0	0	1	0
Gm12320	0	0	0	1
Mir6925	0	0	0	0
Kif1c	499	503	1051	1297
Inca1	587	630	1054	852
Camta2	718	776	1172	1126
Spag7	765	819	1205	1124
Eno3	3613	3802	4828	4196
Pfn1	5277	5285	6729	6057
Rnf167	2394	2628	3625	3405
Slc25a11	1044	1096	1361	1241
Gp1ba	3	4	0	2
Gm12315	24	19	30	24
4930544D05Rik	248	269	406	408
Chrne	488	535	734	615
Gm51905	21	33	55	43
Mink1	1051	1101	1809	1555
Pld2	8	12	12	24
Gm40193	0	0	0	0
Psmb6	4794	5325	6481	5594
Gltpd2	2	0	2	0
Vmo1	9	0	5	1
Tm4sf5	9	5	17	8
Zmynd15	3986	4243	5983	6333
Cxcl16	101	87	157	118
Med11	545	583	730	538
Mir7115	0	0	1	5
Arrb2	243	323	468	621
Gm12314	0	0	0	1
Gm12313	0	0	0	0
Pelp1	3173	3533	5259	5123
Gm12312	0	7	4	6
Alox15	150	170	435	436
Alox12e	0	0	0	2
Gm40192	16	27	21	16
Gm33048	0	0	0	0
Gm32992	0	0	0	1
Alox12	13	8	12	7
Gm40191	72	77	113	107
Rnasek	271	300	444	429
0610010K14Rik	264	277	535	603
Mir195a	10	10	19	24
Mir497	14	12	15	26
Mir497b	4	1	6	0
Bcl6b	203	246	279	279
Slc16a13	20	19	29	28
Slc16a11	3	5	12	10
Clec10a	22	20	49	49
Mgl2	1	0	8	17
Gm12311	0	0	0	0
Asgr2	1	3	1	3
Gm32946	0	1	0	0
Asgr1	0	2	2	1
Dlg4	86	119	135	152
Mir324	1	2	8	1
Acadvl	919	1015	1624	1524
Dvl2	2020	2069	2984	2798
Phf23	1301	1451	2259	1998
Gabarap	7656	8245	11521	10215
Gm51904	56	72	77	76
Ctdnep1	1617	1654	2152	1953
Elp5	7998	8756	12420	11508
Cldn7	26	12	20	35
Gm12310	0	0	0	0
Slc2a4	50	44	123	121
